Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Sandy Loam,23.00%,103,83,81,903 mm,Tamil Nadu,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Loamy,56.00%,88,22,24,390 mm,Maharashtra,Rabi,['Wheat']
Loamy,47.00%,91,23,75,941 mm,Punjab,Zaid,"['Barley', 'Maize']"
Black Cotton Soil,60.00%,51,58,41,1028 mm,Tamil Nadu,Rabi,"['Sorghum', 'Cotton', 'Soybean']"
Loamy,15.00%,92,70,40,782 mm,Odisha,Kharif,['Wheat']
Silty Loam,30.00%,103,57,60,586 mm,Tamil Nadu,Zaid,"['Mustard', 'Pulses']"
Loamy,56.00%,34,61,99,700 mm,West Bengal,Rabi,['Wheat']
Black Cotton Soil,36.00%,38,66,73,1147 mm,Maharashtra,Zaid,"['Soybean', 'Sorghum']"
Black Cotton Soil,53.00%,113,29,78,327 mm,Maharashtra,Zaid,"['Soybean', 'Sorghum']"
Clayey,47.00%,110,27,62,770 mm,West Bengal,Kharif,['Sugarcane']
Black Cotton Soil,16.00%,50,23,47,1066 mm,Punjab,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Loamy,48.00%,91,66,82,934 mm,Maharashtra,Kharif,"['Maize', 'Wheat', 'Barley']"
Clayey,12.00%,85,24,92,428 mm,Karnataka,Kharif,"['Jute', 'Sugarcane']"
Loamy,47.00%,94,67,98,1103 mm,Maharashtra,Kharif,"['Wheat', 'Maize', 'Barley']"
Silty Loam,42.00%,82,74,49,1048 mm,Andhra Pradesh,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Silty Loam,11.00%,33,84,63,1037 mm,Karnataka,Kharif,"['Mustard', 'Pulses', 'Vegetables']"
Silty Loam,54.00%,78,79,84,604 mm,Karnataka,Rabi,"['Mustard', 'Pulses', 'Vegetables']"
Clayey,21.00%,115,54,69,980 mm,Andhra Pradesh,Zaid,['Jute']
Silty Loam,31.00%,34,45,63,729 mm,Punjab,Kharif,"['Mustard', 'Pulses']"
Silty Loam,34.00%,101,63,108,814 mm,Karnataka,Kharif,"['Vegetables', 'Pulses']"
Sandy Loam,19.00%,100,52,26,484 mm,West Bengal,Kharif,"['Chickpea', 'Cotton']"
Loamy,33.00%,73,30,46,638 mm,West Bengal,Kharif,"['Wheat', 'Barley']"
Clayey,33.00%,37,37,78,520 mm,Andhra Pradesh,Rabi,"['Sugarcane', 'Rice', 'Jute']"
Silty Loam,37.00%,46,77,36,840 mm,Andhra Pradesh,Rabi,"['Mustard', 'Pulses', 'Vegetables']"
Loamy,56.00%,52,65,87,813 mm,Punjab,Kharif,['Barley']
Black Cotton Soil,16.00%,62,68,46,338 mm,Andhra Pradesh,Rabi,"['Soybean', 'Cotton']"
Clayey,28.00%,119,29,87,993 mm,Odisha,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,34.00%,113,62,99,999 mm,Punjab,Zaid,"['Cotton', 'Groundnut', 'Chickpea']"
Loamy,19.00%,114,65,56,320 mm,Maharashtra,Rabi,"['Barley', 'Wheat', 'Maize']"
Sandy Loam,46.00%,79,74,71,565 mm,Andhra Pradesh,Kharif,['Cotton']
Clayey,55.00%,77,77,105,609 mm,West Bengal,Kharif,"['Sugarcane', 'Jute']"
Black Cotton Soil,26.00%,88,33,107,1075 mm,Andhra Pradesh,Rabi,['Soybean']
Clayey,41.00%,59,24,77,1076 mm,West Bengal,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,38.00%,77,67,77,712 mm,Tamil Nadu,Kharif,"['Cotton', 'Chickpea']"
Black Cotton Soil,29.00%,94,79,91,692 mm,Tamil Nadu,Zaid,"['Sorghum', 'Cotton']"
Sandy Loam,10.00%,42,62,67,833 mm,Karnataka,Kharif,"['Chickpea', 'Cotton']"
Clayey,22.00%,44,44,93,623 mm,Karnataka,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,50.00%,90,35,60,811 mm,Odisha,Kharif,['Soybean']
Clayey,49.00%,43,71,76,630 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Jute']"
Loamy,41.00%,73,33,81,714 mm,Andhra Pradesh,Zaid,"['Maize', 'Wheat', 'Barley']"
Silty Loam,14.00%,83,24,44,929 mm,Andhra Pradesh,Rabi,"['Pulses', 'Mustard', 'Vegetables']"
Silty Loam,40.00%,87,69,29,1091 mm,Punjab,Rabi,"['Mustard', 'Vegetables']"
Clayey,36.00%,120,54,106,727 mm,Maharashtra,Zaid,['Jute']
Clayey,27.00%,88,24,92,537 mm,Karnataka,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Loamy,55.00%,112,44,79,626 mm,Andhra Pradesh,Rabi,['Maize']
Clayey,34.00%,109,34,88,784 mm,Andhra Pradesh,Kharif,['Sugarcane']
Silty Loam,38.00%,55,60,76,314 mm,West Bengal,Zaid,['Vegetables']
Black Cotton Soil,28.00%,111,86,95,809 mm,Odisha,Zaid,"['Sorghum', 'Cotton']"
Sandy Loam,52.00%,90,42,48,1018 mm,Karnataka,Kharif,['Chickpea']
Clayey,27.00%,109,33,61,1145 mm,Maharashtra,Rabi,"['Sugarcane', 'Rice']"
Clayey,19.00%,73,88,70,907 mm,Tamil Nadu,Kharif,['Rice']
Silty Loam,36.00%,59,52,48,497 mm,Andhra Pradesh,Rabi,"['Vegetables', 'Pulses']"
Loamy,50.00%,68,72,69,1038 mm,Andhra Pradesh,Rabi,"['Maize', 'Wheat']"
Silty Loam,57.00%,39,68,55,806 mm,Maharashtra,Kharif,"['Mustard', 'Pulses', 'Vegetables']"
Loamy,12.00%,109,88,107,1126 mm,Odisha,Rabi,"['Wheat', 'Barley']"
Sandy Loam,43.00%,91,37,42,501 mm,Karnataka,Rabi,"['Chickpea', 'Groundnut', 'Cotton']"
Clayey,22.00%,92,90,58,973 mm,Andhra Pradesh,Kharif,"['Rice', 'Jute', 'Sugarcane']"
Silty Loam,34.00%,118,60,107,1165 mm,Maharashtra,Kharif,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,32.00%,51,46,88,582 mm,Andhra Pradesh,Kharif,"['Soybean', 'Cotton']"
Clayey,21.00%,57,25,30,423 mm,Karnataka,Rabi,['Sugarcane']
Sandy Loam,10.00%,95,85,103,796 mm,Maharashtra,Kharif,"['Chickpea', 'Cotton', 'Groundnut']"
Silty Loam,28.00%,57,26,47,792 mm,Tamil Nadu,Rabi,['Vegetables']
Sandy Loam,56.00%,117,74,39,638 mm,Andhra Pradesh,Zaid,"['Groundnut', 'Chickpea']"
Silty Loam,34.00%,93,61,53,659 mm,Andhra Pradesh,Zaid,['Pulses']
Loamy,24.00%,120,43,22,603 mm,Maharashtra,Rabi,['Wheat']
Loamy,52.00%,109,73,105,674 mm,Karnataka,Zaid,['Maize']
Loamy,54.00%,38,83,36,1067 mm,Andhra Pradesh,Rabi,['Wheat']
Sandy Loam,57.00%,88,69,28,942 mm,Maharashtra,Rabi,"['Groundnut', 'Cotton']"
Loamy,51.00%,100,85,48,1069 mm,Punjab,Rabi,"['Wheat', 'Maize']"
Silty Loam,26.00%,33,62,67,664 mm,Tamil Nadu,Kharif,['Pulses']
Sandy Loam,19.00%,55,25,62,777 mm,Punjab,Zaid,['Chickpea']
Silty Loam,32.00%,48,56,42,747 mm,Punjab,Zaid,"['Pulses', 'Vegetables', 'Mustard']"
Silty Loam,26.00%,54,86,38,1189 mm,West Bengal,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Black Cotton Soil,26.00%,98,84,66,320 mm,Maharashtra,Zaid,['Sorghum']
Clayey,60.00%,76,26,92,1131 mm,Odisha,Kharif,['Jute']
Black Cotton Soil,52.00%,69,26,38,447 mm,Tamil Nadu,Zaid,['Cotton']
Sandy Loam,47.00%,36,20,105,661 mm,West Bengal,Kharif,"['Groundnut', 'Cotton']"
Silty Loam,19.00%,45,50,25,1153 mm,Karnataka,Kharif,['Pulses']
Silty Loam,35.00%,84,22,80,843 mm,Andhra Pradesh,Zaid,['Mustard']
Clayey,50.00%,50,79,72,373 mm,Punjab,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Loamy,39.00%,89,69,63,358 mm,Punjab,Kharif,"['Wheat', 'Maize']"
Clayey,11.00%,95,57,79,548 mm,Andhra Pradesh,Rabi,"['Rice', 'Sugarcane', 'Jute']"
Loamy,30.00%,48,33,48,1147 mm,West Bengal,Kharif,"['Wheat', 'Barley']"
Loamy,60.00%,78,85,67,811 mm,Maharashtra,Zaid,['Barley']
Sandy Loam,50.00%,46,77,87,1011 mm,Tamil Nadu,Kharif,['Groundnut']
Sandy Loam,57.00%,95,38,31,552 mm,Maharashtra,Rabi,"['Groundnut', 'Cotton', 'Chickpea']"
Sandy Loam,24.00%,30,31,110,858 mm,West Bengal,Zaid,"['Cotton', 'Groundnut', 'Chickpea']"
Loamy,15.00%,49,61,23,1096 mm,Maharashtra,Rabi,"['Maize', 'Barley']"
Loamy,55.00%,105,32,65,559 mm,Maharashtra,Kharif,['Barley']
Clayey,27.00%,48,38,97,781 mm,Andhra Pradesh,Rabi,['Sugarcane']
Clayey,35.00%,88,54,23,578 mm,Punjab,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Sandy Loam,44.00%,79,75,40,869 mm,Maharashtra,Rabi,"['Groundnut', 'Cotton']"
Sandy Loam,27.00%,111,47,31,1042 mm,Maharashtra,Kharif,['Cotton']
Sandy Loam,43.00%,65,39,30,1033 mm,Tamil Nadu,Rabi,['Groundnut']
Clayey,46.00%,93,22,72,700 mm,Karnataka,Zaid,['Rice']
Silty Loam,52.00%,110,70,25,1114 mm,Tamil Nadu,Rabi,['Vegetables']
Loamy,30.00%,72,73,72,500 mm,Maharashtra,Kharif,"['Wheat', 'Maize', 'Barley']"
Black Cotton Soil,15.00%,42,32,25,487 mm,Odisha,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Loamy,46.00%,96,39,91,1069 mm,Tamil Nadu,Rabi,"['Wheat', 'Barley', 'Maize']"
Clayey,28.00%,54,40,40,489 mm,Andhra Pradesh,Rabi,['Rice']
Black Cotton Soil,15.00%,58,84,68,682 mm,Andhra Pradesh,Zaid,['Soybean']
Sandy Loam,40.00%,31,39,100,736 mm,Odisha,Kharif,['Groundnut']
Loamy,59.00%,90,38,35,435 mm,Odisha,Rabi,['Maize']
Clayey,44.00%,45,32,91,554 mm,Andhra Pradesh,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Clayey,47.00%,91,39,27,561 mm,Andhra Pradesh,Rabi,"['Jute', 'Rice', 'Sugarcane']"
Black Cotton Soil,28.00%,110,37,62,527 mm,Maharashtra,Zaid,"['Sorghum', 'Soybean', 'Cotton']"
Sandy Loam,58.00%,82,75,34,474 mm,Karnataka,Rabi,['Groundnut']
Black Cotton Soil,31.00%,104,23,27,745 mm,Maharashtra,Rabi,['Sorghum']
Silty Loam,11.00%,58,53,54,1028 mm,Andhra Pradesh,Kharif,['Vegetables']
Sandy Loam,24.00%,54,49,23,428 mm,Karnataka,Rabi,['Chickpea']
Loamy,59.00%,33,58,71,1133 mm,Maharashtra,Zaid,['Maize']
Clayey,33.00%,72,89,32,1060 mm,West Bengal,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,13.00%,57,57,56,907 mm,Tamil Nadu,Kharif,['Chickpea']
Silty Loam,41.00%,71,90,21,482 mm,Odisha,Rabi,"['Vegetables', 'Mustard']"
Silty Loam,31.00%,78,61,92,556 mm,Punjab,Rabi,['Pulses']
Black Cotton Soil,55.00%,100,46,110,716 mm,Punjab,Kharif,"['Sorghum', 'Soybean']"
Loamy,29.00%,76,37,39,546 mm,West Bengal,Zaid,"['Maize', 'Barley']"
Clayey,38.00%,92,45,35,327 mm,Maharashtra,Rabi,"['Jute', 'Sugarcane', 'Rice']"
Clayey,31.00%,66,38,45,671 mm,Odisha,Kharif,"['Jute', 'Sugarcane', 'Rice']"
Loamy,12.00%,91,21,49,470 mm,West Bengal,Rabi,['Barley']
Clayey,39.00%,107,27,96,548 mm,Karnataka,Rabi,['Rice']
Silty Loam,57.00%,38,64,94,1195 mm,West Bengal,Zaid,['Mustard']
Clayey,45.00%,35,43,36,609 mm,Punjab,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Clayey,35.00%,44,77,75,886 mm,Maharashtra,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Black Cotton Soil,36.00%,63,28,89,1155 mm,West Bengal,Zaid,['Sorghum']
Black Cotton Soil,21.00%,92,32,61,376 mm,Tamil Nadu,Rabi,"['Sorghum', 'Soybean', 'Cotton']"
Sandy Loam,51.00%,91,41,49,1003 mm,Odisha,Rabi,"['Groundnut', 'Chickpea']"
Silty Loam,53.00%,108,26,87,1000 mm,Maharashtra,Rabi,['Vegetables']
Clayey,11.00%,58,26,33,1026 mm,West Bengal,Zaid,['Sugarcane']
Silty Loam,55.00%,76,42,87,367 mm,West Bengal,Zaid,"['Pulses', 'Mustard']"
Loamy,16.00%,31,28,102,639 mm,Punjab,Zaid,"['Barley', 'Wheat']"
Black Cotton Soil,50.00%,64,22,66,1071 mm,Odisha,Kharif,['Cotton']
Clayey,48.00%,100,61,71,1069 mm,Punjab,Kharif,"['Sugarcane', 'Jute']"
Sandy Loam,44.00%,34,71,42,688 mm,Karnataka,Kharif,"['Cotton', 'Groundnut']"
Sandy Loam,53.00%,112,69,36,798 mm,Tamil Nadu,Zaid,"['Groundnut', 'Cotton', 'Chickpea']"
Sandy Loam,22.00%,67,85,33,1095 mm,Andhra Pradesh,Zaid,"['Groundnut', 'Cotton']"
Sandy Loam,29.00%,58,32,54,396 mm,Tamil Nadu,Kharif,"['Cotton', 'Chickpea']"
Silty Loam,47.00%,85,36,64,370 mm,West Bengal,Rabi,['Mustard']
Black Cotton Soil,16.00%,65,49,68,488 mm,Karnataka,Kharif,"['Sorghum', 'Cotton', 'Soybean']"
Sandy Loam,47.00%,40,44,71,570 mm,Karnataka,Rabi,"['Cotton', 'Chickpea']"
Silty Loam,57.00%,81,55,79,591 mm,Punjab,Zaid,"['Pulses', 'Mustard']"
Silty Loam,45.00%,105,31,94,554 mm,Punjab,Zaid,"['Vegetables', 'Mustard', 'Pulses']"
Silty Loam,30.00%,60,71,84,652 mm,Maharashtra,Kharif,"['Pulses', 'Mustard', 'Vegetables']"
Loamy,49.00%,108,27,58,682 mm,Tamil Nadu,Kharif,"['Maize', 'Barley']"
Loamy,35.00%,111,52,24,360 mm,Tamil Nadu,Rabi,"['Barley', 'Maize', 'Wheat']"
Black Cotton Soil,24.00%,70,47,66,336 mm,Andhra Pradesh,Zaid,"['Cotton', 'Soybean', 'Sorghum']"
Silty Loam,20.00%,109,28,55,884 mm,Punjab,Kharif,"['Mustard', 'Vegetables']"
Silty Loam,38.00%,52,30,33,931 mm,Punjab,Kharif,"['Pulses', 'Mustard', 'Vegetables']"
Silty Loam,59.00%,56,65,81,750 mm,Andhra Pradesh,Zaid,"['Pulses', 'Mustard']"
Clayey,42.00%,69,79,69,772 mm,West Bengal,Kharif,['Sugarcane']
Clayey,21.00%,82,61,53,1175 mm,Punjab,Rabi,"['Rice', 'Sugarcane']"
Sandy Loam,42.00%,85,85,102,547 mm,Tamil Nadu,Kharif,['Chickpea']
Clayey,29.00%,103,37,32,763 mm,West Bengal,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Clayey,14.00%,31,68,60,1022 mm,Odisha,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,33.00%,59,36,86,916 mm,West Bengal,Zaid,"['Sorghum', 'Cotton']"
Clayey,23.00%,31,55,52,413 mm,Karnataka,Zaid,['Sugarcane']
Sandy Loam,45.00%,76,32,52,977 mm,Maharashtra,Rabi,"['Chickpea', 'Cotton']"
Clayey,30.00%,74,90,25,1094 mm,Punjab,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Clayey,20.00%,108,30,48,1000 mm,Karnataka,Rabi,"['Rice', 'Sugarcane']"
Loamy,25.00%,96,87,66,781 mm,West Bengal,Zaid,"['Barley', 'Maize', 'Wheat']"
Clayey,52.00%,98,22,76,671 mm,Andhra Pradesh,Kharif,"['Jute', 'Sugarcane']"
Clayey,42.00%,70,27,36,560 mm,West Bengal,Rabi,['Jute']
Black Cotton Soil,46.00%,106,24,75,994 mm,Karnataka,Rabi,['Soybean']
Loamy,28.00%,117,37,65,730 mm,Karnataka,Kharif,"['Wheat', 'Barley']"
Sandy Loam,44.00%,45,33,67,387 mm,Andhra Pradesh,Rabi,"['Groundnut', 'Chickpea']"
Clayey,35.00%,51,85,63,1026 mm,Tamil Nadu,Zaid,['Jute']
Silty Loam,11.00%,119,48,91,864 mm,Karnataka,Kharif,['Pulses']
Clayey,46.00%,68,20,40,1145 mm,Tamil Nadu,Zaid,['Rice']
Loamy,21.00%,85,64,96,881 mm,West Bengal,Zaid,"['Wheat', 'Maize']"
Loamy,26.00%,48,37,27,836 mm,Odisha,Kharif,"['Wheat', 'Maize']"
Clayey,29.00%,58,29,23,925 mm,Maharashtra,Kharif,"['Rice', 'Jute', 'Sugarcane']"
Silty Loam,20.00%,105,25,41,928 mm,Punjab,Kharif,"['Mustard', 'Pulses']"
Clayey,56.00%,58,77,61,826 mm,Maharashtra,Zaid,"['Rice', 'Jute', 'Sugarcane']"
Clayey,24.00%,107,82,58,639 mm,West Bengal,Kharif,"['Rice', 'Sugarcane']"
Loamy,56.00%,77,54,46,915 mm,West Bengal,Zaid,"['Maize', 'Wheat']"
Sandy Loam,10.00%,95,52,33,626 mm,Maharashtra,Rabi,"['Chickpea', 'Cotton']"
Black Cotton Soil,33.00%,94,61,100,897 mm,Maharashtra,Kharif,['Soybean']
Loamy,24.00%,38,70,100,737 mm,Maharashtra,Kharif,"['Wheat', 'Maize', 'Barley']"
Sandy Loam,16.00%,58,89,20,656 mm,West Bengal,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Loamy,46.00%,40,65,89,782 mm,Tamil Nadu,Zaid,"['Barley', 'Wheat']"
Loamy,53.00%,109,46,46,1146 mm,West Bengal,Zaid,"['Wheat', 'Maize', 'Barley']"
Black Cotton Soil,34.00%,76,32,90,919 mm,West Bengal,Zaid,"['Sorghum', 'Soybean']"
Clayey,51.00%,58,43,97,1107 mm,West Bengal,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Sandy Loam,15.00%,71,44,33,1097 mm,Tamil Nadu,Rabi,"['Cotton', 'Chickpea', 'Groundnut']"
Silty Loam,54.00%,48,42,88,405 mm,Tamil Nadu,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Black Cotton Soil,56.00%,105,40,83,607 mm,Maharashtra,Rabi,"['Soybean', 'Cotton']"
Silty Loam,52.00%,84,45,109,848 mm,West Bengal,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Loamy,53.00%,95,60,106,1108 mm,West Bengal,Kharif,"['Wheat', 'Maize']"
Black Cotton Soil,45.00%,88,60,85,749 mm,Andhra Pradesh,Zaid,"['Soybean', 'Sorghum', 'Cotton']"
Sandy Loam,58.00%,115,71,57,1165 mm,Andhra Pradesh,Rabi,"['Cotton', 'Chickpea']"
Black Cotton Soil,27.00%,60,39,65,1098 mm,Maharashtra,Zaid,"['Cotton', 'Sorghum']"
Loamy,19.00%,71,73,90,743 mm,Punjab,Rabi,"['Barley', 'Wheat', 'Maize']"
Loamy,32.00%,37,65,57,431 mm,Odisha,Rabi,"['Barley', 'Maize']"
Loamy,11.00%,98,36,21,800 mm,Karnataka,Rabi,['Wheat']
Loamy,13.00%,107,28,53,702 mm,Andhra Pradesh,Zaid,"['Barley', 'Maize', 'Wheat']"
Clayey,37.00%,81,50,38,784 mm,Tamil Nadu,Rabi,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,47.00%,51,87,27,910 mm,Tamil Nadu,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Clayey,23.00%,114,76,96,683 mm,Punjab,Kharif,"['Sugarcane', 'Rice', 'Jute']"
Loamy,47.00%,42,62,68,313 mm,Odisha,Zaid,"['Wheat', 'Maize', 'Barley']"
Black Cotton Soil,50.00%,70,33,26,326 mm,Maharashtra,Rabi,"['Sorghum', 'Cotton', 'Soybean']"
Sandy Loam,33.00%,37,77,33,439 mm,Tamil Nadu,Rabi,"['Groundnut', 'Cotton']"
Sandy Loam,19.00%,62,54,35,786 mm,Andhra Pradesh,Rabi,"['Cotton', 'Groundnut']"
Clayey,57.00%,101,45,53,679 mm,Tamil Nadu,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,27.00%,77,87,106,873 mm,Punjab,Kharif,['Soybean']
Loamy,20.00%,81,78,98,542 mm,Andhra Pradesh,Rabi,"['Barley', 'Maize']"
Clayey,59.00%,107,49,105,589 mm,Andhra Pradesh,Rabi,['Jute']
Sandy Loam,10.00%,37,24,66,409 mm,Odisha,Zaid,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,39.00%,109,57,21,1154 mm,Odisha,Kharif,"['Groundnut', 'Cotton', 'Chickpea']"
Black Cotton Soil,44.00%,42,41,37,783 mm,Karnataka,Kharif,['Sorghum']
Black Cotton Soil,25.00%,73,59,79,427 mm,Maharashtra,Kharif,['Soybean']
Sandy Loam,45.00%,67,40,87,802 mm,Maharashtra,Rabi,"['Chickpea', 'Cotton']"
Clayey,55.00%,79,71,20,1161 mm,Odisha,Rabi,['Rice']
Clayey,59.00%,95,61,77,580 mm,Karnataka,Zaid,['Rice']
Loamy,14.00%,104,29,26,400 mm,Punjab,Rabi,"['Barley', 'Maize']"
Silty Loam,39.00%,59,59,101,706 mm,Karnataka,Kharif,"['Pulses', 'Vegetables', 'Mustard']"
Loamy,29.00%,81,88,51,661 mm,Punjab,Rabi,['Barley']
Loamy,51.00%,117,27,69,1187 mm,Andhra Pradesh,Zaid,"['Maize', 'Barley']"
Loamy,37.00%,112,87,37,499 mm,West Bengal,Kharif,['Barley']
Black Cotton Soil,41.00%,67,82,27,650 mm,Karnataka,Rabi,['Cotton']
Clayey,15.00%,109,37,72,1100 mm,Punjab,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,59.00%,74,90,77,876 mm,Punjab,Zaid,"['Sorghum', 'Soybean']"
Silty Loam,41.00%,40,32,44,609 mm,Maharashtra,Rabi,"['Mustard', 'Pulses', 'Vegetables']"
Black Cotton Soil,22.00%,84,62,110,364 mm,Andhra Pradesh,Kharif,['Sorghum']
Loamy,40.00%,110,28,29,925 mm,Tamil Nadu,Rabi,['Barley']
Black Cotton Soil,56.00%,58,59,38,1152 mm,Maharashtra,Kharif,"['Cotton', 'Sorghum', 'Soybean']"
Loamy,21.00%,103,22,68,706 mm,Tamil Nadu,Zaid,"['Wheat', 'Maize']"
Black Cotton Soil,41.00%,120,47,26,585 mm,Karnataka,Kharif,['Sorghum']
Sandy Loam,46.00%,92,80,78,1180 mm,Tamil Nadu,Zaid,['Groundnut']
Loamy,37.00%,119,45,91,934 mm,Karnataka,Zaid,"['Maize', 'Wheat', 'Barley']"
Silty Loam,10.00%,114,31,108,793 mm,Punjab,Zaid,['Vegetables']
Sandy Loam,42.00%,111,54,54,518 mm,Punjab,Rabi,['Chickpea']
Clayey,51.00%,102,31,63,1196 mm,Punjab,Rabi,['Jute']
Silty Loam,12.00%,45,87,45,956 mm,Tamil Nadu,Zaid,"['Pulses', 'Mustard']"
Sandy Loam,54.00%,104,73,55,1113 mm,Odisha,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Silty Loam,16.00%,53,45,106,590 mm,Tamil Nadu,Kharif,"['Vegetables', 'Pulses', 'Mustard']"
Silty Loam,29.00%,83,61,56,726 mm,Maharashtra,Kharif,"['Mustard', 'Vegetables', 'Pulses']"
Sandy Loam,26.00%,47,79,21,803 mm,Karnataka,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Loamy,19.00%,115,89,51,1045 mm,West Bengal,Rabi,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,17.00%,59,79,73,1017 mm,Karnataka,Zaid,['Cotton']
Loamy,47.00%,45,38,54,640 mm,Tamil Nadu,Kharif,['Maize']
Sandy Loam,30.00%,115,39,96,792 mm,Punjab,Rabi,"['Chickpea', 'Groundnut']"
Loamy,36.00%,87,57,103,925 mm,West Bengal,Kharif,['Wheat']
Black Cotton Soil,50.00%,75,57,59,751 mm,Maharashtra,Zaid,"['Cotton', 'Sorghum']"
Loamy,14.00%,51,63,57,753 mm,Odisha,Zaid,"['Barley', 'Wheat']"
Black Cotton Soil,35.00%,43,86,97,661 mm,Maharashtra,Zaid,"['Sorghum', 'Cotton', 'Soybean']"
Silty Loam,32.00%,74,80,58,1158 mm,Maharashtra,Rabi,"['Pulses', 'Mustard']"
Sandy Loam,53.00%,119,75,51,1107 mm,Odisha,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Loamy,31.00%,57,56,48,397 mm,West Bengal,Kharif,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,13.00%,46,49,89,1199 mm,Odisha,Rabi,"['Chickpea', 'Cotton']"
Silty Loam,55.00%,72,33,25,719 mm,Andhra Pradesh,Zaid,"['Mustard', 'Pulses']"
Clayey,49.00%,62,55,37,835 mm,Andhra Pradesh,Rabi,"['Sugarcane', 'Jute']"
Sandy Loam,57.00%,88,26,84,878 mm,Odisha,Kharif,"['Groundnut', 'Cotton']"
Silty Loam,19.00%,70,26,21,1082 mm,Andhra Pradesh,Zaid,"['Mustard', 'Vegetables', 'Pulses']"
Sandy Loam,28.00%,83,65,101,973 mm,Karnataka,Kharif,"['Chickpea', 'Cotton']"
Sandy Loam,54.00%,108,76,75,379 mm,Andhra Pradesh,Zaid,['Chickpea']
Clayey,12.00%,118,69,44,409 mm,Maharashtra,Zaid,['Jute']
Silty Loam,40.00%,93,26,34,392 mm,Tamil Nadu,Kharif,['Pulses']
Loamy,27.00%,111,75,88,1108 mm,Karnataka,Kharif,"['Wheat', 'Barley']"
Black Cotton Soil,42.00%,120,75,36,889 mm,Karnataka,Rabi,"['Soybean', 'Sorghum']"
Sandy Loam,29.00%,74,73,84,720 mm,Tamil Nadu,Kharif,"['Chickpea', 'Cotton']"
Loamy,18.00%,39,88,81,1194 mm,West Bengal,Rabi,"['Barley', 'Maize', 'Wheat']"
Clayey,40.00%,99,20,35,430 mm,Maharashtra,Rabi,['Jute']
Black Cotton Soil,29.00%,38,64,97,736 mm,Odisha,Zaid,"['Soybean', 'Cotton']"
Sandy Loam,15.00%,69,68,81,323 mm,Karnataka,Kharif,['Groundnut']
Sandy Loam,25.00%,75,79,42,511 mm,Tamil Nadu,Kharif,['Cotton']
Clayey,56.00%,81,54,34,1130 mm,Andhra Pradesh,Rabi,"['Sugarcane', 'Jute']"
Black Cotton Soil,29.00%,43,46,32,429 mm,Karnataka,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Black Cotton Soil,33.00%,78,34,107,923 mm,Odisha,Rabi,"['Soybean', 'Cotton']"
Loamy,10.00%,59,73,107,392 mm,Karnataka,Rabi,"['Wheat', 'Barley', 'Maize']"
Black Cotton Soil,21.00%,69,22,84,457 mm,West Bengal,Rabi,"['Sorghum', 'Soybean']"
Silty Loam,37.00%,48,84,46,483 mm,Tamil Nadu,Kharif,"['Pulses', 'Vegetables']"
Black Cotton Soil,36.00%,63,21,91,766 mm,Karnataka,Kharif,['Cotton']
Clayey,23.00%,44,88,40,997 mm,Tamil Nadu,Kharif,"['Jute', 'Rice', 'Sugarcane']"
Silty Loam,34.00%,96,27,64,600 mm,Punjab,Kharif,"['Vegetables', 'Mustard']"
